%% File generated by CATS v.2.1Mon Aug 19 19:12:13 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 200; Distribution: matching; Runs: 10; Seed: 1566250951
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 205
dummy 73

0	5327	2	16	#
1	12504	1	12	22	#
2	8440	1	16	22	#
3	9378	5	16	22	#
4	7333	13	18	70	#
5	5531	13	19	27	#
6	4915	11	13	25	#
7	3318	11	17	25	#
8	3686	15	17	25	#
9	4897	0	19	#
10	7375	5	11	27	#
11	4978	5	15	27	#
12	4480	5	19	27	#
13	5531	9	15	27	#
14	4978	9	19	27	#
15	8861	0	13	28	#
16	7975	0	17	28	#
17	8861	4	17	28	#
18	7164	5	11	29	#
19	4836	5	15	29	#
20	4352	5	19	29	#
21	5373	9	15	29	#
22	4836	9	19	29	#
23	5373	13	19	29	#
24	9718	9	14	30	#
25	6560	9	18	30	#
26	7289	13	18	30	#
27	8569	2	5	31	#
28	5784	2	9	31	#
29	5205	2	13	31	#
30	4685	2	17	31	#
31	6426	6	9	31	#
32	5784	6	13	31	#
33	5205	6	17	31	#
34	6426	10	13	31	#
35	5784	10	17	31	#
36	6426	14	17	31	#
37	6559	11	13	32	#
38	4427	11	17	32	#
39	4919	15	17	32	#
40	9025	3	5	33	#
41	6092	3	9	33	#
42	5483	3	13	33	#
43	4935	3	17	33	#
44	6769	7	9	33	#
45	6092	7	13	33	#
46	5483	7	17	33	#
47	6769	11	13	33	#
48	6092	11	17	33	#
49	6769	15	17	33	#
50	6957	13	19	44	#
51	4372	5	10	40	#
52	2951	5	14	40	#
53	2656	5	18	40	#
54	3279	9	14	40	#
55	2951	9	18	40	#
56	3279	13	18	40	#
57	10204	10	13	41	#
58	6888	10	17	41	#
59	7653	14	17	41	#
60	5473	0	18	#
61	9276	1	7	44	#
62	6261	1	11	44	#
63	5635	1	15	44	#
64	5072	1	19	44	#
65	6957	5	11	44	#
66	6261	5	15	44	#
67	5635	5	19	44	#
68	6957	9	15	44	#
69	6261	9	19	44	#
70	5565	3	5	45	#
71	5009	3	9	45	#
72	4508	3	13	45	#
73	5565	7	9	45	#
74	5009	7	13	45	#
75	5565	11	13	45	#
76	3675	0	13	46	#
77	3308	0	17	46	#
78	3675	4	17	46	#
79	8294	11	13	48	#
80	5598	11	17	48	#
81	6220	15	17	48	#
82	6197	5	10	50	#
83	4183	5	14	50	#
84	3765	5	18	50	#
85	4648	9	14	50	#
86	4183	9	18	50	#
87	4648	13	18	50	#
88	8977	6	9	51	#
89	6060	6	13	51	#
90	5454	6	17	51	#
91	6733	10	13	51	#
92	6060	10	17	51	#
93	6733	14	17	51	#
94	3514	3	5	53	#
95	3163	3	9	53	#
96	2847	3	13	53	#
97	3514	7	9	53	#
98	3163	7	13	53	#
99	3514	11	13	53	#
100	7038	0	13	54	#
101	4750	0	17	54	#
102	5278	4	17	54	#
103	11693	0	13	55	#
104	7893	0	17	55	#
105	8770	4	17	55	#
106	3583	1	12	56	#
107	3225	1	16	56	#
108	3583	5	16	56	#
109	3599	2	5	59	#
110	3239	2	9	59	#
111	2915	2	13	59	#
112	3599	6	9	59	#
113	3239	6	13	59	#
114	3599	10	13	59	#
115	7425	1	7	60	#
116	6682	1	11	60	#
117	6014	1	15	60	#
118	7425	5	11	60	#
119	6682	5	15	60	#
120	7425	9	15	60	#
121	7176	1	7	61	#
122	4844	1	11	61	#
123	4359	1	15	61	#
124	3923	1	19	61	#
125	5382	5	11	61	#
126	4844	5	15	61	#
127	4359	5	19	61	#
128	5382	9	15	61	#
129	4844	9	19	61	#
130	5382	13	19	61	#
131	3632	2	5	62	#
132	3269	2	9	62	#
133	2942	2	13	62	#
134	3632	6	9	62	#
135	3269	6	13	62	#
136	3632	10	13	62	#
137	5582	3	16	#
138	9777	9	14	70	#
139	6600	9	18	70	#
140	5885	7	9	72	#
141	3973	7	13	72	#
142	3575	7	17	72	#
143	4414	11	13	72	#
144	3973	11	17	72	#
145	4414	15	17	72	#
146	5565	2	5	73	#
147	3756	2	9	73	#
148	3381	2	13	73	#
149	3043	2	17	73	#
150	4174	6	9	73	#
151	3756	6	13	73	#
152	3381	6	17	73	#
153	4174	10	13	73	#
154	3756	10	17	73	#
155	4174	14	17	73	#
156	7064	9	14	74	#
157	4768	9	18	74	#
158	5298	13	18	74	#
159	12537	0	13	76	#
160	8463	0	17	76	#
161	9403	4	17	76	#
162	8747	1	12	80	#
163	5904	1	16	80	#
164	6560	5	16	80	#
165	5908	1	6	81	#
166	5317	1	10	81	#
167	4785	1	14	81	#
168	5908	5	10	81	#
169	5317	5	14	81	#
170	5908	9	14	81	#
171	8141	0	13	84	#
172	7327	0	17	84	#
173	8141	4	17	84	#
174	8930	1	12	85	#
175	6028	1	16	85	#
176	6698	5	16	85	#
177	7366	9	14	86	#
178	4972	9	18	86	#
179	5524	13	18	86	#
180	8877	2	5	89	#
181	5992	2	9	89	#
182	5393	2	13	89	#
183	4854	2	17	89	#
184	6658	6	9	89	#
185	5992	6	13	89	#
186	5393	6	17	89	#
187	6658	10	13	89	#
188	5992	10	17	89	#
189	6658	14	17	89	#
190	5708	1	6	90	#
191	5137	1	10	90	#
192	4623	1	14	90	#
193	5708	5	10	90	#
194	5137	5	14	90	#
195	5708	9	14	90	#
196	7127	1	12	91	#
197	4811	1	16	91	#
198	5345	5	16	91	#
199	6388	7	9	92	#
200	4312	7	13	92	#
201	3881	7	17	92	#
202	4791	11	13	92	#
203	4312	11	17	92	#
204	4791	15	17	92	#
