%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 45; Bids: 450; Distribution: scheduling; Runs: 10; Seed: 1566345636
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 45
bids 456
dummy 15

0	19627	0	1	2	3	4	5	6	7	8	45	#
1	19627	1	2	3	4	5	6	7	8	9	45	#
2	19627	2	3	4	5	6	7	8	9	10	45	#
3	19627	3	4	5	6	7	8	9	10	11	45	#
4	19627	4	5	6	7	8	9	10	11	12	45	#
5	19627	5	6	7	8	9	10	11	12	13	45	#
6	19627	6	7	8	9	10	11	12	13	14	45	#
7	19627	7	8	9	10	11	12	13	14	15	45	#
8	19627	8	9	10	11	12	13	14	15	16	45	#
9	19627	9	10	11	12	13	14	15	16	17	45	#
10	19627	10	11	12	13	14	15	16	17	18	45	#
11	6967	0	1	2	3	4	5	6	7	46	#
12	6967	1	2	3	4	5	6	7	8	46	#
13	6967	2	3	4	5	6	7	8	9	46	#
14	6967	3	4	5	6	7	8	9	10	46	#
15	6967	4	5	6	7	8	9	10	11	46	#
16	6967	5	6	7	8	9	10	11	12	46	#
17	6967	6	7	8	9	10	11	12	13	46	#
18	6967	7	8	9	10	11	12	13	14	46	#
19	6967	8	9	10	11	12	13	14	15	46	#
20	6967	9	10	11	12	13	14	15	16	46	#
21	6967	10	11	12	13	14	15	16	17	46	#
22	6967	11	12	13	14	15	16	17	18	46	#
23	6967	12	13	14	15	16	17	18	19	46	#
24	6967	13	14	15	16	17	18	19	20	46	#
25	6967	14	15	16	17	18	19	20	21	46	#
26	6967	15	16	17	18	19	20	21	22	46	#
27	6967	16	17	18	19	20	21	22	23	46	#
28	6967	17	18	19	20	21	22	23	24	46	#
29	6967	18	19	20	21	22	23	24	25	46	#
30	6967	19	20	21	22	23	24	25	26	46	#
31	5661	20	21	22	23	24	25	26	27	46	#
32	5661	21	22	23	24	25	26	27	28	46	#
33	5661	22	23	24	25	26	27	28	29	46	#
34	5661	23	24	25	26	27	28	29	30	46	#
35	5661	24	25	26	27	28	29	30	31	46	#
36	5661	25	26	27	28	29	30	31	32	46	#
37	5328	26	27	28	29	30	31	32	33	46	#
38	5328	27	28	29	30	31	32	33	34	46	#
39	4645	28	29	30	31	32	33	34	35	46	#
40	4645	29	30	31	32	33	34	35	36	46	#
41	4645	30	31	32	33	34	35	36	37	46	#
42	4645	31	32	33	34	35	36	37	38	46	#
43	4645	32	33	34	35	36	37	38	39	46	#
44	4213	33	34	35	36	37	38	39	40	46	#
45	4213	34	35	36	37	38	39	40	41	46	#
46	4213	35	36	37	38	39	40	41	42	46	#
47	4213	36	37	38	39	40	41	42	43	46	#
48	7069	0	1	2	3	47	#
49	7069	1	2	3	4	47	#
50	7069	2	3	4	5	47	#
51	7069	3	4	5	6	47	#
52	7069	4	5	6	7	47	#
53	7069	5	6	7	8	47	#
54	7069	6	7	8	9	47	#
55	7069	7	8	9	10	47	#
56	7069	8	9	10	11	47	#
57	7069	9	10	11	12	47	#
58	7069	10	11	12	13	47	#
59	7069	11	12	13	14	47	#
60	7069	12	13	14	15	47	#
61	7069	13	14	15	16	47	#
62	7069	14	15	16	17	47	#
63	7069	15	16	17	18	47	#
64	7069	16	17	18	19	47	#
65	7069	17	18	19	20	47	#
66	7069	18	19	20	21	47	#
67	7069	19	20	21	22	47	#
68	7069	20	21	22	23	47	#
69	7069	21	22	23	24	47	#
70	7069	22	23	24	25	47	#
71	7069	23	24	25	26	47	#
72	7069	24	25	26	27	47	#
73	7069	25	26	27	28	47	#
74	7069	26	27	28	29	47	#
75	7069	27	28	29	30	47	#
76	7069	28	29	30	31	47	#
77	5096	29	30	31	32	47	#
78	5096	30	31	32	33	47	#
79	5096	31	32	33	34	47	#
80	5096	32	33	34	35	47	#
81	5096	33	34	35	36	47	#
82	5096	34	35	36	37	47	#
83	5096	35	36	37	38	47	#
84	5096	36	37	38	39	47	#
85	5096	37	38	39	40	47	#
86	5096	38	39	40	41	47	#
87	5096	39	40	41	42	47	#
88	5096	40	41	42	43	47	#
89	7062	0	1	2	3	48	#
90	7062	1	2	3	4	48	#
91	7062	2	3	4	5	48	#
92	7062	3	4	5	6	48	#
93	7062	4	5	6	7	48	#
94	7062	5	6	7	8	48	#
95	7062	6	7	8	9	48	#
96	7062	7	8	9	10	48	#
97	7062	8	9	10	11	48	#
98	7062	9	10	11	12	48	#
99	7062	10	11	12	13	48	#
100	7062	11	12	13	14	48	#
101	7062	12	13	14	15	48	#
102	7062	13	14	15	16	48	#
103	7062	14	15	16	17	48	#
104	7062	15	16	17	18	48	#
105	7062	16	17	18	19	48	#
106	7062	17	18	19	20	48	#
107	7062	18	19	20	21	48	#
108	7062	19	20	21	22	48	#
109	7062	20	21	22	23	48	#
110	7062	21	22	23	24	48	#
111	7062	22	23	24	25	48	#
112	7062	23	24	25	26	48	#
113	7062	24	25	26	27	48	#
114	7062	25	26	27	28	48	#
115	7062	26	27	28	29	48	#
116	7062	27	28	29	30	48	#
117	7062	28	29	30	31	48	#
118	7062	29	30	31	32	48	#
119	7062	30	31	32	33	48	#
120	7062	31	32	33	34	48	#
121	7062	32	33	34	35	48	#
122	7062	33	34	35	36	48	#
123	6690	34	35	36	37	48	#
124	6690	35	36	37	38	48	#
125	5912	36	37	38	39	48	#
126	5912	37	38	39	40	48	#
127	5912	38	39	40	41	48	#
128	5912	39	40	41	42	48	#
129	5912	40	41	42	43	48	#
130	5778	41	42	43	44	48	#
