%% File generated by CATS v.2.1Tue Aug 20 18:57:00 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 40; Bids: 800; Distribution: matching; Runs: 10; Seed: 1566345229
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 40
bids 809
dummy 181

0	4338	18	25	40	#
1	2928	18	29	40	#
2	2635	18	33	40	#
3	2372	18	37	40	#
4	3253	22	29	40	#
5	2928	22	33	40	#
6	2635	22	37	40	#
7	3253	26	33	40	#
8	2928	26	37	40	#
9	3253	30	37	40	#
10	7789	1	11	41	#
11	5258	1	15	41	#
12	4732	1	19	41	#
13	4259	1	23	41	#
14	5842	5	15	41	#
15	5258	5	19	41	#
16	4732	5	23	41	#
17	5842	9	19	41	#
18	5258	9	23	41	#
19	5842	13	23	41	#
20	6136	17	26	42	#
21	4142	17	30	42	#
22	3728	17	34	42	#
23	3355	17	38	42	#
24	4602	21	30	42	#
25	4142	21	34	42	#
26	3728	21	38	42	#
27	4602	25	34	42	#
28	4142	25	38	42	#
29	4602	29	38	42	#
30	4976	0	29	43	#
31	4479	0	33	43	#
32	4031	0	37	43	#
33	4976	4	33	43	#
34	4479	4	37	43	#
35	4976	8	37	43	#
36	7464	1	28	44	#
37	5038	1	32	44	#
38	4534	1	36	44	#
39	5598	5	32	44	#
40	5038	5	36	44	#
41	5598	9	36	44	#
42	11323	13	23	45	#
43	7643	13	27	45	#
44	6879	13	31	45	#
45	6191	13	35	45	#
46	8492	17	27	45	#
47	7643	17	31	45	#
48	6879	17	35	45	#
49	8492	21	31	45	#
50	7643	21	35	45	#
51	8492	25	35	45	#
52	3438	10	17	46	#
53	2321	10	21	46	#
54	2089	10	25	46	#
55	1880	10	29	46	#
56	2579	14	21	46	#
57	2321	14	25	46	#
58	2089	14	29	46	#
59	2579	18	25	46	#
60	2321	18	29	46	#
61	2579	22	29	46	#
62	428	0	38	47	#
63	4049	0	39	48	#
64	373	2	36	49	#
65	2669	3	36	50	#
66	3569	3	36	51	#
67	625	2	36	52	#
68	6490	5	32	53	#
69	4381	5	36	53	#
70	4868	9	36	53	#
71	4428	0	29	54	#
72	3985	0	33	54	#
73	3586	0	37	54	#
74	4428	4	33	54	#
75	3985	4	37	54	#
76	4428	8	37	54	#
77	2598	3	36	55	#
78	549	2	36	56	#
79	3896	9	18	57	#
80	2630	9	22	57	#
81	2367	9	26	57	#
82	2130	9	30	57	#
83	2922	13	22	57	#
84	2630	13	26	57	#
85	2367	13	30	57	#
86	2922	17	26	57	#
87	2630	17	30	57	#
88	2922	21	30	57	#
89	7197	6	13	58	#
90	4858	6	17	58	#
91	4372	6	21	58	#
92	3935	6	25	58	#
93	5398	10	17	58	#
94	4858	10	21	58	#
95	4372	10	25	58	#
96	5398	14	21	58	#
97	4858	14	25	58	#
98	5398	18	25	58	#
99	3642	22	29	59	#
100	2458	22	33	59	#
101	2212	22	37	59	#
102	2731	26	33	59	#
103	2458	26	37	59	#
104	2731	30	37	59	#
105	577	2	36	60	#
106	2088	0	39	61	#
107	4861	19	25	62	#
108	3281	19	29	62	#
109	2953	19	33	62	#
110	2658	19	37	62	#
111	3646	23	29	62	#
112	3281	23	33	62	#
113	2953	23	37	62	#
114	3646	27	33	62	#
115	3281	27	37	62	#
116	3646	31	37	62	#
117	3187	0	39	63	#
118	425	2	36	64	#
119	1779	0	39	65	#
120	5639	0	29	66	#
121	5075	0	33	66	#
122	4567	0	37	66	#
123	5639	4	33	66	#
124	5075	4	37	66	#
125	5639	8	37	66	#
126	3847	13	22	67	#
127	2597	13	26	67	#
128	2337	13	30	67	#
129	2103	13	34	67	#
130	2885	17	26	67	#
131	2597	17	30	67	#
132	2337	17	34	67	#
133	2885	21	30	67	#
134	2597	21	34	67	#
135	2885	25	34	67	#
136	4827	23	29	68	#
137	3258	23	33	68	#
138	2932	23	37	68	#
139	3620	27	33	68	#
140	3258	27	37	68	#
141	3620	31	37	68	#
142	516	0	38	69	#
143	7918	6	13	70	#
144	5345	6	17	70	#
145	4810	6	21	70	#
146	4329	6	25	70	#
147	5939	10	17	70	#
148	5345	10	21	70	#
149	4810	10	25	70	#
150	5939	14	21	70	#
151	5345	14	25	70	#
152	5939	18	25	70	#
153	7846	13	22	71	#
154	5296	13	26	71	#
155	4766	13	30	71	#
156	4290	13	34	71	#
157	5884	17	26	71	#
158	5296	17	30	71	#
159	4766	17	34	71	#
160	5884	21	30	71	#
161	5296	21	34	71	#
162	5884	25	34	71	#
163	6360	4	33	72	#
164	4293	4	37	72	#
165	4770	8	37	72	#
166	2389	0	39	73	#
167	6400	4	33	74	#
168	4320	4	37	74	#
169	4800	8	37	74	#
170	7482	0	29	75	#
171	5050	0	33	75	#
172	4545	0	37	75	#
173	5611	4	33	75	#
174	5050	4	37	75	#
175	5611	8	37	75	#
176	11662	25	35	76	#
177	7872	25	39	76	#
178	8746	29	39	76	#
179	5053	1	11	77	#
180	4548	1	15	77	#
181	4093	1	19	77	#
182	5053	5	15	77	#
183	4548	5	19	77	#
184	5053	9	19	77	#
185	11577	19	25	78	#
186	7815	19	29	78	#
187	7033	19	33	78	#
188	6330	19	37	78	#
189	8683	23	29	78	#
190	7815	23	33	78	#
191	7033	23	37	78	#
192	8683	27	33	78	#
193	7815	27	37	78	#
194	8683	31	37	78	#
195	5327	26	33	79	#
196	3596	26	37	79	#
197	3995	30	37	79	#
198	2641	0	39	80	#
199	3025	3	36	81	#
200	487	2	36	82	#
201	1642	3	36	83	#
202	3457	0	39	84	#
203	5680	0	29	85	#
204	5112	0	33	85	#
205	4601	0	37	85	#
206	5680	4	33	85	#
207	5112	4	37	85	#
208	5680	8	37	85	#
209	8823	10	17	86	#
210	5956	10	21	86	#
211	5360	10	25	86	#
212	4824	10	29	86	#
213	6617	14	21	86	#
214	5956	14	25	86	#
215	5360	14	29	86	#
216	6617	18	25	86	#
217	5956	18	29	86	#
218	6617	22	29	86	#
219	5422	10	17	87	#
220	3660	10	21	87	#
221	3294	10	25	87	#
222	2965	10	29	87	#
223	4067	14	21	87	#
224	3660	14	25	87	#
225	3294	14	29	87	#
226	4067	18	25	87	#
227	3660	18	29	87	#
228	4067	22	29	87	#
229	3405	10	17	88	#
230	2299	10	21	88	#
231	2069	10	25	88	#
232	1862	10	29	88	#
233	2554	14	21	88	#
234	2299	14	25	88	#
235	2069	14	29	88	#
236	2554	18	25	88	#
237	2299	18	29	88	#
238	2554	22	29	88	#
239	10650	27	33	89	#
240	7189	27	37	89	#
241	7988	31	37	89	#
242	3767	3	36	90	#
243	13152	1	11	91	#
244	8877	1	15	91	#
245	7990	1	19	91	#
246	7191	1	23	91	#
247	9864	5	15	91	#
248	8877	5	19	91	#
249	7990	5	23	91	#
250	9864	9	19	91	#
251	8877	9	23	91	#
252	9864	13	23	91	#
253	5652	6	13	92	#
254	3815	6	17	92	#
255	3434	6	21	92	#
256	3090	6	25	92	#
257	4239	10	17	92	#
258	3815	10	21	92	#
259	3434	10	25	92	#
260	4239	14	21	92	#
261	3815	14	25	92	#
262	4239	18	25	92	#
263	6171	0	29	93	#
264	5554	0	33	93	#
265	4999	0	37	93	#
266	6171	4	33	93	#
267	5554	4	37	93	#
268	6171	8	37	93	#
269	405	2	36	94	#
270	2701	3	36	95	#
271	9302	7	13	96	#
272	6279	7	17	96	#
273	5651	7	21	96	#
274	5086	7	25	96	#
275	6977	11	17	96	#
276	6279	11	21	96	#
277	5651	11	25	96	#
278	6977	15	21	96	#
279	6279	15	25	96	#
280	6977	19	25	96	#
281	7094	4	33	97	#
282	4789	4	37	97	#
283	5321	8	37	97	#
284	3363	1	10	98	#
285	2270	1	14	98	#
286	2043	1	18	98	#
287	1839	1	22	98	#
288	2522	5	14	98	#
289	2270	5	18	98	#
290	2043	5	22	98	#
291	2522	9	18	98	#
292	2270	9	22	98	#
293	2522	13	22	98	#
294	8180	5	32	99	#
295	5522	5	36	99	#
296	6135	9	36	99	#
297	8708	9	18	100	#
298	5878	9	22	100	#
299	5290	9	26	100	#
300	4761	9	30	100	#
301	6531	13	22	100	#
302	5878	13	26	100	#
303	5290	13	30	100	#
304	6531	17	26	100	#
305	5878	17	30	100	#
306	6531	21	30	100	#
307	431	2	36	101	#
308	7850	9	18	102	#
309	5299	9	22	102	#
310	4769	9	26	102	#
311	4292	9	30	102	#
312	5887	13	22	102	#
313	5299	13	26	102	#
314	4769	13	30	102	#
315	5887	17	26	102	#
316	5299	17	30	102	#
317	5887	21	30	102	#
318	4406	1	28	103	#
319	3966	1	32	103	#
320	3569	1	36	103	#
321	4406	5	32	103	#
322	3966	5	36	103	#
323	4406	9	36	103	#
324	3800	3	36	104	#
325	7279	17	27	105	#
326	4913	17	31	105	#
327	4422	17	35	105	#
328	3980	17	39	105	#
329	5459	21	31	105	#
330	4913	21	35	105	#
331	4422	21	39	105	#
332	5459	25	35	105	#
333	4913	25	39	105	#
334	5459	29	39	105	#
335	4489	18	25	106	#
336	3030	18	29	106	#
337	2727	18	33	106	#
338	2455	18	37	106	#
339	3367	22	29	106	#
340	3030	22	33	106	#
341	2727	22	37	106	#
342	3367	26	33	106	#
343	3030	26	37	106	#
344	3367	30	37	106	#
345	2154	1	28	107	#
346	1939	1	32	107	#
347	1745	1	36	107	#
348	2154	5	32	107	#
349	1939	5	36	107	#
350	2154	9	36	107	#
351	4010	0	39	108	#
352	525	0	38	109	#
353	649	2	36	110	#
354	4678	22	29	111	#
355	3158	22	33	111	#
356	2842	22	37	111	#
357	3509	26	33	111	#
358	3158	26	37	111	#
359	3509	30	37	111	#
360	8468	25	34	112	#
361	5716	25	38	112	#
362	6351	29	38	112	#
363	3707	3	36	113	#
364	8961	5	15	114	#
365	6049	5	19	114	#
366	5444	5	23	114	#
367	4900	5	27	114	#
