%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 75; Bids: 750; Distribution: scheduling; Runs: 10; Seed: 1566345662
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 75
bids 777
dummy 15

0	13451	0	1	2	3	4	5	6	7	75	#
1	13451	1	2	3	4	5	6	7	8	75	#
2	13451	2	3	4	5	6	7	8	9	75	#
3	13451	3	4	5	6	7	8	9	10	75	#
4	13451	4	5	6	7	8	9	10	11	75	#
5	13451	5	6	7	8	9	10	11	12	75	#
6	13451	6	7	8	9	10	11	12	13	75	#
7	13451	7	8	9	10	11	12	13	14	75	#
8	13451	8	9	10	11	12	13	14	15	75	#
9	13451	9	10	11	12	13	14	15	16	75	#
10	13451	10	11	12	13	14	15	16	17	75	#
11	13451	11	12	13	14	15	16	17	18	75	#
12	13451	12	13	14	15	16	17	18	19	75	#
13	13451	13	14	15	16	17	18	19	20	75	#
14	13451	14	15	16	17	18	19	20	21	75	#
15	13451	15	16	17	18	19	20	21	22	75	#
16	13451	16	17	18	19	20	21	22	23	75	#
17	13451	17	18	19	20	21	22	23	24	75	#
18	13451	18	19	20	21	22	23	24	25	75	#
19	13451	19	20	21	22	23	24	25	26	75	#
20	13451	20	21	22	23	24	25	26	27	75	#
21	13451	21	22	23	24	25	26	27	28	75	#
22	13451	22	23	24	25	26	27	28	29	75	#
23	13451	23	24	25	26	27	28	29	30	75	#
24	13451	24	25	26	27	28	29	30	31	75	#
25	13451	25	26	27	28	29	30	31	32	75	#
26	13451	26	27	28	29	30	31	32	33	75	#
27	13451	27	28	29	30	31	32	33	34	75	#
28	13451	28	29	30	31	32	33	34	35	75	#
29	13451	29	30	31	32	33	34	35	36	75	#
30	13451	30	31	32	33	34	35	36	37	75	#
31	13451	31	32	33	34	35	36	37	38	75	#
32	13451	32	33	34	35	36	37	38	39	75	#
33	13451	33	34	35	36	37	38	39	40	75	#
34	13451	34	35	36	37	38	39	40	41	75	#
35	13451	35	36	37	38	39	40	41	42	75	#
36	13451	36	37	38	39	40	41	42	43	75	#
37	13451	37	38	39	40	41	42	43	44	75	#
38	13451	38	39	40	41	42	43	44	45	75	#
39	13451	39	40	41	42	43	44	45	46	75	#
40	13451	40	41	42	43	44	45	46	47	75	#
41	13451	41	42	43	44	45	46	47	48	75	#
42	13451	42	43	44	45	46	47	48	49	75	#
43	13451	43	44	45	46	47	48	49	50	75	#
44	13451	44	45	46	47	48	49	50	51	75	#
45	13451	45	46	47	48	49	50	51	52	75	#
46	13451	46	47	48	49	50	51	52	53	75	#
47	13451	47	48	49	50	51	52	53	54	75	#
48	13451	48	49	50	51	52	53	54	55	75	#
49	13451	49	50	51	52	53	54	55	56	75	#
50	13451	50	51	52	53	54	55	56	57	75	#
51	13451	51	52	53	54	55	56	57	58	75	#
52	13451	52	53	54	55	56	57	58	59	75	#
53	13451	53	54	55	56	57	58	59	60	75	#
54	13451	54	55	56	57	58	59	60	61	75	#
55	13451	55	56	57	58	59	60	61	62	75	#
56	13451	56	57	58	59	60	61	62	63	75	#
57	13451	57	58	59	60	61	62	63	64	75	#
58	13451	58	59	60	61	62	63	64	65	75	#
59	13451	59	60	61	62	63	64	65	66	75	#
60	13451	60	61	62	63	64	65	66	67	75	#
61	13451	61	62	63	64	65	66	67	68	75	#
62	13451	62	63	64	65	66	67	68	69	75	#
63	13451	63	64	65	66	67	68	69	70	75	#
64	13451	64	65	66	67	68	69	70	71	75	#
65	13451	65	66	67	68	69	70	71	72	75	#
66	13451	66	67	68	69	70	71	72	73	75	#
67	13451	67	68	69	70	71	72	73	74	75	#
68	7813	0	1	2	3	4	5	6	7	8	76	#
69	11700	0	1	2	3	4	5	6	7	77	#
70	11700	1	2	3	4	5	6	7	8	77	#
71	11700	2	3	4	5	6	7	8	9	77	#
72	11700	3	4	5	6	7	8	9	10	77	#
73	11700	4	5	6	7	8	9	10	11	77	#
74	11700	5	6	7	8	9	10	11	12	77	#
75	11700	6	7	8	9	10	11	12	13	77	#
76	11700	7	8	9	10	11	12	13	14	77	#
77	11700	8	9	10	11	12	13	14	15	77	#
78	11700	9	10	11	12	13	14	15	16	77	#
79	11700	10	11	12	13	14	15	16	17	77	#
80	11700	11	12	13	14	15	16	17	18	77	#
81	11700	12	13	14	15	16	17	18	19	77	#
82	11700	13	14	15	16	17	18	19	20	77	#
83	11700	14	15	16	17	18	19	20	21	77	#
84	11700	15	16	17	18	19	20	21	22	77	#
85	11700	16	17	18	19	20	21	22	23	77	#
86	11700	17	18	19	20	21	22	23	24	77	#
87	11700	18	19	20	21	22	23	24	25	77	#
88	11700	19	20	21	22	23	24	25	26	77	#
89	11700	20	21	22	23	24	25	26	27	77	#
90	11700	21	22	23	24	25	26	27	28	77	#
91	11700	22	23	24	25	26	27	28	29	77	#
92	11700	23	24	25	26	27	28	29	30	77	#
93	11700	24	25	26	27	28	29	30	31	77	#
94	11700	25	26	27	28	29	30	31	32	77	#
95	11700	26	27	28	29	30	31	32	33	77	#
96	11700	27	28	29	30	31	32	33	34	77	#
97	11700	28	29	30	31	32	33	34	35	77	#
98	11700	29	30	31	32	33	34	35	36	77	#
99	11700	30	31	32	33	34	35	36	37	77	#
100	11700	31	32	33	34	35	36	37	38	77	#
101	11700	32	33	34	35	36	37	38	39	77	#
102	11700	33	34	35	36	37	38	39	40	77	#
103	11700	34	35	36	37	38	39	40	41	77	#
104	11700	35	36	37	38	39	40	41	42	77	#
