%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 45; Bids: 900; Distribution: scheduling; Runs: 10; Seed: 1566345637
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 45
bids 911
dummy 29

0	2706	0	1	2	45	#
1	2706	1	2	3	45	#
2	2706	2	3	4	45	#
3	2706	3	4	5	45	#
4	2706	4	5	6	45	#
5	2706	5	6	7	45	#
6	2706	6	7	8	45	#
7	902	7	8	9	45	#
8	902	8	9	10	45	#
9	902	9	10	11	45	#
10	902	10	11	12	45	#
11	902	11	12	13	45	#
12	902	12	13	14	45	#
13	902	13	14	15	45	#
14	902	14	15	16	45	#
15	902	15	16	17	45	#
16	902	16	17	18	45	#
17	902	17	18	19	45	#
18	902	18	19	20	45	#
19	902	19	20	21	45	#
20	902	20	21	22	45	#
21	902	21	22	23	45	#
22	902	22	23	24	45	#
23	515	23	24	25	45	#
24	515	24	25	26	45	#
25	515	25	26	27	45	#
26	515	26	27	28	45	#
27	515	27	28	29	45	#
28	515	28	29	30	45	#
29	515	29	30	31	45	#
30	515	30	31	32	45	#
31	515	31	32	33	45	#
32	515	32	33	34	45	#
33	515	33	34	35	45	#
34	515	34	35	36	45	#
35	515	35	36	37	45	#
36	515	36	37	38	45	#
37	515	37	38	39	45	#
38	515	38	39	40	45	#
39	515	39	40	41	45	#
40	515	40	41	42	45	#
41	492	41	42	43	45	#
42	492	42	43	44	45	#
43	3319	0	1	46	#
44	3319	1	2	46	#
45	3319	2	3	46	#
46	3319	3	4	46	#
47	3319	4	5	46	#
48	3319	5	6	46	#
49	3319	6	7	46	#
50	3319	7	8	46	#
51	3319	8	9	46	#
52	3319	9	10	46	#
53	3319	10	11	46	#
54	3319	11	12	46	#
55	3319	12	13	46	#
56	3319	13	14	46	#
57	3319	14	15	46	#
58	3319	15	16	46	#
59	1967	16	17	46	#
60	1967	17	18	46	#
61	1967	18	19	46	#
62	1967	19	20	46	#
63	1967	20	21	46	#
64	1967	21	22	46	#
65	1967	22	23	46	#
66	1967	23	24	46	#
67	1967	24	25	46	#
68	1967	25	26	46	#
69	1967	26	27	46	#
70	2052	0	1	47	#
71	2052	1	2	47	#
72	2052	2	3	47	#
73	2052	3	4	47	#
74	2052	4	5	47	#
75	2052	5	6	47	#
76	2052	6	7	47	#
77	2052	7	8	47	#
78	2052	8	9	47	#
79	450	9	10	47	#
80	450	10	11	47	#
81	450	11	12	47	#
82	450	12	13	47	#
83	450	13	14	47	#
84	450	14	15	47	#
85	450	15	16	47	#
86	450	16	17	47	#
87	450	17	18	47	#
88	450	18	19	47	#
89	450	19	20	47	#
90	450	20	21	47	#
91	450	21	22	47	#
92	450	22	23	47	#
93	450	23	24	47	#
94	450	24	25	47	#
95	450	25	26	47	#
96	450	26	27	47	#
97	450	27	28	47	#
98	450	28	29	47	#
99	450	29	30	47	#
100	450	30	31	47	#
101	450	31	32	47	#
102	450	32	33	47	#
103	450	33	34	47	#
104	450	34	35	47	#
105	450	35	36	47	#
106	450	36	37	47	#
