%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 55; Bids: 1100; Distribution: scheduling; Runs: 10; Seed: 1566345645
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 55
bids 1116
dummy 29

0	4982	0	1	2	3	55	#
1	4982	1	2	3	4	55	#
2	4982	2	3	4	5	55	#
3	4982	3	4	5	6	55	#
4	4982	4	5	6	7	55	#
5	4982	5	6	7	8	55	#
6	4982	6	7	8	9	55	#
7	4982	7	8	9	10	55	#
8	4982	8	9	10	11	55	#
9	4982	9	10	11	12	55	#
10	4982	10	11	12	13	55	#
11	4982	11	12	13	14	55	#
12	4982	12	13	14	15	55	#
13	4982	13	14	15	16	55	#
14	4982	14	15	16	17	55	#
15	4982	15	16	17	18	55	#
16	4982	16	17	18	19	55	#
17	4982	17	18	19	20	55	#
18	4982	18	19	20	21	55	#
19	4982	19	20	21	22	55	#
20	4982	20	21	22	23	55	#
21	4982	21	22	23	24	55	#
22	4982	22	23	24	25	55	#
23	4982	23	24	25	26	55	#
24	4982	24	25	26	27	55	#
25	4982	25	26	27	28	55	#
26	4982	26	27	28	29	55	#
27	4982	27	28	29	30	55	#
28	4982	28	29	30	31	55	#
29	4982	29	30	31	32	55	#
30	4982	30	31	32	33	55	#
31	4982	31	32	33	34	55	#
32	4982	32	33	34	35	55	#
33	4982	33	34	35	36	55	#
34	4982	34	35	36	37	55	#
35	4982	35	36	37	38	55	#
36	4982	36	37	38	39	55	#
37	12099	0	1	2	3	4	5	6	7	56	#
38	12099	1	2	3	4	5	6	7	8	56	#
39	12099	2	3	4	5	6	7	8	9	56	#
40	12099	3	4	5	6	7	8	9	10	56	#
41	12099	4	5	6	7	8	9	10	11	56	#
42	12099	5	6	7	8	9	10	11	12	56	#
43	12099	6	7	8	9	10	11	12	13	56	#
44	12099	7	8	9	10	11	12	13	14	56	#
45	12099	8	9	10	11	12	13	14	15	56	#
46	12099	9	10	11	12	13	14	15	16	56	#
47	12099	10	11	12	13	14	15	16	17	56	#
48	12099	11	12	13	14	15	16	17	18	56	#
49	12099	12	13	14	15	16	17	18	19	56	#
50	12099	13	14	15	16	17	18	19	20	56	#
51	12099	14	15	16	17	18	19	20	21	56	#
52	12099	15	16	17	18	19	20	21	22	56	#
53	12099	16	17	18	19	20	21	22	23	56	#
54	12099	17	18	19	20	21	22	23	24	56	#
55	12099	18	19	20	21	22	23	24	25	56	#
56	12099	19	20	21	22	23	24	25	26	56	#
57	12099	20	21	22	23	24	25	26	27	56	#
58	12099	21	22	23	24	25	26	27	28	56	#
59	12099	22	23	24	25	26	27	28	29	56	#
60	12099	23	24	25	26	27	28	29	30	56	#
61	12099	24	25	26	27	28	29	30	31	56	#
62	12099	25	26	27	28	29	30	31	32	56	#
63	12099	26	27	28	29	30	31	32	33	56	#
64	12099	27	28	29	30	31	32	33	34	56	#
65	12099	28	29	30	31	32	33	34	35	56	#
66	12099	29	30	31	32	33	34	35	36	56	#
67	12099	30	31	32	33	34	35	36	37	56	#
68	12099	31	32	33	34	35	36	37	38	56	#
69	12099	32	33	34	35	36	37	38	39	56	#
