%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 55; Bids: 1100; Distribution: scheduling; Runs: 10; Seed: 1566345645
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 55
bids 1113
dummy 30

0	1473	0	55	#
1	1473	1	55	#
2	1473	2	55	#
3	1473	3	55	#
4	210	4	55	#
5	210	5	55	#
6	210	6	55	#
7	210	7	55	#
8	210	8	55	#
9	210	9	55	#
10	210	10	55	#
11	210	11	55	#
12	210	12	55	#
13	210	13	55	#
14	210	14	55	#
15	210	15	55	#
16	210	16	55	#
17	210	17	55	#
18	210	18	55	#
19	210	19	55	#
20	210	20	55	#
21	210	21	55	#
22	87	22	55	#
23	87	23	55	#
24	87	24	55	#
25	87	25	55	#
26	87	26	55	#
27	87	27	55	#
28	87	28	55	#
29	87	29	55	#
30	87	30	55	#
31	87	31	55	#
32	87	32	55	#
33	87	33	55	#
34	87	34	55	#
35	87	35	55	#
36	87	36	55	#
37	87	37	55	#
38	87	38	55	#
39	87	39	55	#
40	87	40	55	#
41	87	41	55	#
42	87	42	55	#
43	87	43	55	#
44	87	44	55	#
45	87	45	55	#
46	87	46	55	#
47	87	47	55	#
48	87	48	55	#
49	87	49	55	#
50	87	50	55	#
51	87	51	55	#
52	85	52	55	#
53	82	53	55	#
54	82	54	55	#
55	4800	0	1	2	56	#
56	4800	1	2	3	56	#
57	4800	2	3	4	56	#
58	4800	3	4	5	56	#
59	4800	4	5	6	56	#
60	4800	5	6	7	56	#
61	4800	6	7	8	56	#
62	784	7	8	9	56	#
63	784	8	9	10	56	#
64	784	9	10	11	56	#
65	784	10	11	12	56	#
66	784	11	12	13	56	#
67	784	12	13	14	56	#
68	784	13	14	15	56	#
69	784	14	15	16	56	#
70	784	15	16	17	56	#
71	784	16	17	18	56	#
72	784	17	18	19	56	#
73	784	18	19	20	56	#
74	784	19	20	21	56	#
75	784	20	21	22	56	#
76	784	21	22	23	56	#
77	784	22	23	24	56	#
78	784	23	24	25	56	#
79	784	24	25	26	56	#
80	784	25	26	27	56	#
81	784	26	27	28	56	#
82	784	27	28	29	56	#
83	784	28	29	30	56	#
84	784	29	30	31	56	#
85	784	30	31	32	56	#
86	784	31	32	33	56	#
87	784	32	33	34	56	#
88	784	33	34	35	56	#
89	784	34	35	36	56	#
90	784	35	36	37	56	#
91	784	36	37	38	56	#
92	784	37	38	39	56	#
93	784	38	39	40	56	#
94	784	39	40	41	56	#
95	784	40	41	42	56	#
96	784	41	42	43	56	#
97	784	42	43	44	56	#
98	784	43	44	45	56	#
99	784	44	45	46	56	#
100	784	45	46	47	56	#
101	784	46	47	48	56	#
102	784	47	48	49	56	#
103	768	48	49	50	56	#
104	738	49	50	51	56	#
105	738	50	51	52	56	#
106	3860	0	1	2	57	#
107	3860	1	2	3	57	#
108	3860	2	3	4	57	#
109	3860	3	4	5	57	#
110	3860	4	5	6	57	#
111	3860	5	6	7	57	#
112	3860	6	7	8	57	#
113	3860	7	8	9	57	#
114	3860	8	9	10	57	#
115	3860	9	10	11	57	#
116	3860	10	11	12	57	#
117	3860	11	12	13	57	#
118	2641	12	13	14	57	#
119	2641	13	14	15	57	#
120	2641	14	15	16	57	#
121	2641	15	16	17	57	#
122	2641	16	17	18	57	#
123	2641	17	18	19	57	#
124	2515	0	1	58	#
125	2515	1	2	58	#
126	2515	2	3	58	#
127	2515	3	4	58	#
128	2515	4	5	58	#
129	2515	5	6	58	#
130	2515	6	7	58	#
131	2515	7	8	58	#
132	2515	8	9	58	#
133	6140	0	1	2	3	4	59	#
134	6140	1	2	3	4	5	59	#
135	6140	2	3	4	5	6	59	#
136	6140	3	4	5	6	7	59	#
137	6140	4	5	6	7	8	59	#
138	6140	5	6	7	8	9	59	#
139	6140	6	7	8	9	10	59	#
140	6140	7	8	9	10	11	59	#
141	6140	8	9	10	11	12	59	#
142	6140	9	10	11	12	13	59	#
143	6140	10	11	12	13	14	59	#
144	6140	11	12	13	14	15	59	#
145	6140	12	13	14	15	16	59	#
146	6140	13	14	15	16	17	59	#
147	6140	14	15	16	17	18	59	#
148	6140	15	16	17	18	19	59	#
149	6140	16	17	18	19	20	59	#
150	6140	17	18	19	20	21	59	#
151	6140	18	19	20	21	22	59	#
152	6140	19	20	21	22	23	59	#
