%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 55; Bids: 550; Distribution: scheduling; Runs: 10; Seed: 1566345644
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 55
bids 574
dummy 14

0	3637	0	1	2	3	55	#
1	3637	1	2	3	4	55	#
2	3637	2	3	4	5	55	#
3	3637	3	4	5	6	55	#
4	3637	4	5	6	7	55	#
5	3637	5	6	7	8	55	#
6	3637	6	7	8	9	55	#
7	3637	7	8	9	10	55	#
8	3637	8	9	10	11	55	#
9	3637	9	10	11	12	55	#
10	3637	10	11	12	13	55	#
11	3637	11	12	13	14	55	#
12	3637	12	13	14	15	55	#
13	3637	13	14	15	16	55	#
14	3637	14	15	16	17	55	#
15	3637	15	16	17	18	55	#
16	3637	16	17	18	19	55	#
17	3637	17	18	19	20	55	#
18	3637	18	19	20	21	55	#
19	3637	19	20	21	22	55	#
20	3637	20	21	22	23	55	#
21	3637	21	22	23	24	55	#
22	2567	22	23	24	25	55	#
23	2567	23	24	25	26	55	#
24	2567	24	25	26	27	55	#
25	2567	25	26	27	28	55	#
26	2567	26	27	28	29	55	#
27	2567	27	28	29	30	55	#
28	2567	28	29	30	31	55	#
29	2567	29	30	31	32	55	#
30	2567	30	31	32	33	55	#
31	2567	31	32	33	34	55	#
32	2425	32	33	34	35	55	#
33	2425	33	34	35	36	55	#
34	2238	34	35	36	37	55	#
35	2238	35	36	37	38	55	#
36	2238	36	37	38	39	55	#
37	2129	37	38	39	40	55	#
38	2129	38	39	40	41	55	#
39	1679	39	40	41	42	55	#
40	1679	40	41	42	43	55	#
41	1679	41	42	43	44	55	#
42	1679	42	43	44	45	55	#
43	1679	43	44	45	46	55	#
44	1679	44	45	46	47	55	#
45	1679	45	46	47	48	55	#
46	1679	46	47	48	49	55	#
47	1679	47	48	49	50	55	#
48	1679	48	49	50	51	55	#
49	1679	49	50	51	52	55	#
50	7035	0	1	2	3	56	#
51	7035	1	2	3	4	56	#
52	7035	2	3	4	5	56	#
53	7035	3	4	5	6	56	#
54	7035	4	5	6	7	56	#
55	7035	5	6	7	8	56	#
56	7035	6	7	8	9	56	#
57	7035	7	8	9	10	56	#
58	7035	8	9	10	11	56	#
59	7035	9	10	11	12	56	#
60	7035	10	11	12	13	56	#
61	7035	11	12	13	14	56	#
62	7035	12	13	14	15	56	#
63	7035	13	14	15	16	56	#
64	7035	14	15	16	17	56	#
65	7035	15	16	17	18	56	#
66	7035	16	17	18	19	56	#
67	7035	17	18	19	20	56	#
68	7035	18	19	20	21	56	#
69	7035	19	20	21	22	56	#
70	7035	20	21	22	23	56	#
71	7035	21	22	23	24	56	#
72	7035	22	23	24	25	56	#
73	7035	23	24	25	26	56	#
74	7035	24	25	26	27	56	#
75	7035	25	26	27	28	56	#
76	7035	26	27	28	29	56	#
77	7035	27	28	29	30	56	#
78	7035	28	29	30	31	56	#
79	7035	29	30	31	32	56	#
80	7035	30	31	32	33	56	#
81	7035	31	32	33	34	56	#
82	7035	32	33	34	35	56	#
83	7035	33	34	35	36	56	#
84	7035	34	35	36	37	56	#
85	7035	35	36	37	38	56	#
86	7035	36	37	38	39	56	#
87	6178	0	1	2	3	57	#
88	6178	1	2	3	4	57	#
89	6178	2	3	4	5	57	#
90	6178	3	4	5	6	57	#
91	6178	4	5	6	7	57	#
92	6178	5	6	7	8	57	#
93	6178	6	7	8	9	57	#
94	6178	7	8	9	10	57	#
95	6178	8	9	10	11	57	#
96	6178	9	10	11	12	57	#
97	6178	10	11	12	13	57	#
98	6178	11	12	13	14	57	#
99	6178	12	13	14	15	57	#
100	6178	13	14	15	16	57	#
101	6178	14	15	16	17	57	#
102	6178	15	16	17	18	57	#
103	6178	16	17	18	19	57	#
104	6178	17	18	19	20	57	#
105	6178	18	19	20	21	57	#
106	6178	19	20	21	22	57	#
107	6178	20	21	22	23	57	#
108	6178	21	22	23	24	57	#
109	6178	22	23	24	25	57	#
110	6178	23	24	25	26	57	#
111	6178	24	25	26	27	57	#
112	3549	25	26	27	28	57	#
113	3549	26	27	28	29	57	#
114	3549	27	28	29	30	57	#
115	3549	28	29	30	31	57	#
116	3549	29	30	31	32	57	#
117	3549	30	31	32	33	57	#
118	3549	31	32	33	34	57	#
119	3549	32	33	34	35	57	#
120	3549	33	34	35	36	57	#
121	3549	34	35	36	37	57	#
122	3549	35	36	37	38	57	#
123	3549	36	37	38	39	57	#
124	3549	37	38	39	40	57	#
125	3549	38	39	40	41	57	#
126	3549	39	40	41	42	57	#
127	3549	40	41	42	43	57	#
128	3549	41	42	43	44	57	#
129	3549	42	43	44	45	57	#
130	3549	43	44	45	46	57	#
131	3549	44	45	46	47	57	#
132	3475	45	46	47	48	57	#
133	3270	46	47	48	49	57	#
134	3270	47	48	49	50	57	#
135	3270	48	49	50	51	57	#
136	3147	49	50	51	52	57	#
137	3147	50	51	52	53	57	#
138	12841	0	1	2	3	4	5	6	58	#
139	12841	1	2	3	4	5	6	7	58	#
140	12841	2	3	4	5	6	7	8	58	#
141	12841	3	4	5	6	7	8	9	58	#
