%% File generated by CATS v.2.1Mon Aug 19 19:12:13 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 200; Distribution: matching; Runs: 10; Seed: 1566250951
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 205
dummy 64

0	8421	2	16	#
1	4917	3	5	21	#
2	3319	3	9	21	#
3	2987	3	13	21	#
4	2689	3	17	21	#
5	3688	7	9	21	#
6	3319	7	13	21	#
7	2987	7	17	21	#
8	3688	11	13	21	#
9	3319	11	17	21	#
10	3688	15	17	21	#
11	5480	0	13	22	#
12	3699	0	17	22	#
13	4110	4	17	22	#
14	4307	1	12	23	#
15	3876	1	16	23	#
16	4307	5	16	23	#
17	9953	5	10	24	#
18	6718	5	14	24	#
19	6046	5	18	24	#
20	7465	9	14	24	#
21	6718	9	18	24	#
22	7465	13	18	24	#
23	5472	2	5	25	#
24	4925	2	9	25	#
25	4432	2	13	25	#
26	5472	6	9	25	#
27	4925	6	13	25	#
28	5472	10	13	25	#
29	3977	1	7	27	#
30	3579	1	11	27	#
31	3221	1	15	27	#
32	3977	5	11	27	#
33	3579	5	15	27	#
34	3977	9	15	27	#
35	6698	2	5	28	#
36	6028	2	9	28	#
37	5425	2	13	28	#
38	6698	6	9	28	#
39	6028	6	13	28	#
40	6698	10	13	28	#
41	5424	15	17	37	#
42	7824	11	13	30	#
43	5281	11	17	30	#
44	5868	15	17	30	#
45	5422	6	9	32	#
46	3660	6	13	32	#
47	3294	6	17	32	#
48	4067	10	13	32	#
49	3660	10	17	32	#
50	4067	14	17	32	#
51	5934	5	16	50	#
52	5685	15	17	65	#
53	7865	14	17	47	#
54	7231	11	13	37	#
55	4881	11	17	37	#
56	7403	3	5	38	#
57	4997	3	9	38	#
58	4497	3	13	38	#
59	4048	3	17	38	#
60	5552	7	9	38	#
61	4997	7	13	38	#
62	4497	7	17	38	#
63	5552	11	13	38	#
64	4997	11	17	38	#
65	5552	15	17	38	#
66	3896	0	13	41	#
67	3507	0	17	41	#
68	3896	4	17	41	#
69	7867	1	6	42	#
70	7080	1	10	42	#
71	6372	1	14	42	#
72	7867	5	10	42	#
73	7080	5	14	42	#
74	7867	9	14	42	#
75	8013	2	5	43	#
76	5409	2	9	43	#
77	4868	2	13	43	#
78	4381	2	17	43	#
79	6010	6	9	43	#
80	5409	6	13	43	#
81	4868	6	17	43	#
82	6010	10	13	43	#
83	5409	10	17	43	#
84	6010	14	17	43	#
85	7837	0	19	#
86	10486	2	5	47	#
87	7078	2	9	47	#
88	6370	2	13	47	#
89	5733	2	17	47	#
90	7865	6	9	47	#
91	7078	6	13	47	#
92	6370	6	17	47	#
93	7865	10	13	47	#
94	7078	10	17	47	#
95	2731	1	12	48	#
96	2458	1	16	48	#
97	2731	5	16	48	#
98	8163	3	16	#
99	7912	1	12	50	#
100	5341	1	16	50	#
101	4515	1	7	51	#
102	4063	1	11	51	#
103	3657	1	15	51	#
104	4515	5	11	51	#
105	4063	5	15	51	#
106	4515	9	15	51	#
107	8657	2	5	52	#
108	5844	2	9	52	#
109	5259	2	13	52	#
110	4733	2	17	52	#
111	6493	6	9	52	#
112	5844	6	13	52	#
113	5259	6	17	52	#
114	6493	10	13	52	#
115	5844	10	17	52	#
116	6493	14	17	52	#
117	2454	0	13	53	#
118	2209	0	17	53	#
119	2454	4	17	53	#
120	9803	2	5	54	#
121	6617	2	9	54	#
122	5955	2	13	54	#
123	5360	2	17	54	#
124	7352	6	9	54	#
125	6617	6	13	54	#
126	5955	6	17	54	#
127	7352	10	13	54	#
128	6617	10	17	54	#
129	7352	14	17	54	#
130	3546	1	12	56	#
131	2394	1	16	56	#
132	2660	5	16	56	#
133	4517	0	13	57	#
134	4066	0	17	57	#
135	4517	4	17	57	#
136	8156	9	15	60	#
137	5505	9	19	60	#
138	6117	13	19	60	#
139	7188	1	12	61	#
140	4852	1	16	61	#
141	5391	5	16	61	#
142	5314	0	18	#
143	7580	11	13	65	#
144	5116	11	17	65	#
145	5953	1	12	66	#
146	4019	1	16	66	#
147	4465	5	16	66	#
148	6682	6	9	67	#
149	4510	6	13	67	#
150	4059	6	17	67	#
151	5011	10	13	67	#
152	4510	10	17	67	#
153	5011	14	17	67	#
154	9886	11	13	70	#
155	6673	11	17	70	#
156	7415	15	17	70	#
157	9942	10	13	71	#
158	6711	10	17	71	#
159	7456	14	17	71	#
160	2296	1	12	74	#
161	2066	1	16	74	#
162	2296	5	16	74	#
163	5410	7	9	75	#
164	3652	7	13	75	#
165	3287	7	17	75	#
166	4057	11	13	75	#
167	3652	11	17	75	#
168	4057	15	17	75	#
169	5242	3	5	77	#
170	4718	3	9	77	#
171	4246	3	13	77	#
172	5242	7	9	77	#
173	4718	7	13	77	#
174	5242	11	13	77	#
175	10435	2	5	78	#
176	7043	2	9	78	#
177	6339	2	13	78	#
178	5705	2	17	78	#
179	7826	6	9	78	#
180	7043	6	13	78	#
181	6339	6	17	78	#
182	7826	10	13	78	#
183	7043	10	17	78	#
184	7826	14	17	78	#
185	11827	1	6	79	#
186	7983	1	10	79	#
187	7185	1	14	79	#
188	6466	1	18	79	#
189	8870	5	10	79	#
190	7983	5	14	79	#
191	7185	5	18	79	#
192	8870	9	14	79	#
193	7983	9	18	79	#
194	8870	13	18	79	#
195	7936	1	7	83	#
196	5357	1	11	83	#
197	4821	1	15	83	#
198	4339	1	19	83	#
199	5952	5	11	83	#
200	5357	5	15	83	#
201	4821	5	19	83	#
202	5952	9	15	83	#
203	5357	9	19	83	#
204	5952	13	19	83	#
