%% File generated by CATS v.2.1Tue Aug 20 18:58:10 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 35; Bids: 1400; Distribution: scheduling; Runs: 10; Seed: 1566345629
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 35
bids 1407
dummy 62

0	8284	0	1	2	3	4	5	6	7	8	9	35	#
1	8284	1	2	3	4	5	6	7	8	9	10	35	#
2	8284	2	3	4	5	6	7	8	9	10	11	35	#
3	8284	3	4	5	6	7	8	9	10	11	12	35	#
4	8284	4	5	6	7	8	9	10	11	12	13	35	#
5	8284	5	6	7	8	9	10	11	12	13	14	35	#
6	8284	6	7	8	9	10	11	12	13	14	15	35	#
7	8284	7	8	9	10	11	12	13	14	15	16	35	#
8	8284	8	9	10	11	12	13	14	15	16	17	35	#
9	8284	9	10	11	12	13	14	15	16	17	18	35	#
10	8284	10	11	12	13	14	15	16	17	18	19	35	#
11	8284	11	12	13	14	15	16	17	18	19	20	35	#
12	8284	12	13	14	15	16	17	18	19	20	21	35	#
13	8284	13	14	15	16	17	18	19	20	21	22	35	#
14	8284	14	15	16	17	18	19	20	21	22	23	35	#
15	8284	15	16	17	18	19	20	21	22	23	24	35	#
16	8284	16	17	18	19	20	21	22	23	24	25	35	#
17	8284	17	18	19	20	21	22	23	24	25	26	35	#
18	8284	18	19	20	21	22	23	24	25	26	27	35	#
19	8284	19	20	21	22	23	24	25	26	27	28	35	#
20	8284	20	21	22	23	24	25	26	27	28	29	35	#
21	8284	21	22	23	24	25	26	27	28	29	30	35	#
22	8284	22	23	24	25	26	27	28	29	30	31	35	#
23	8284	23	24	25	26	27	28	29	30	31	32	35	#
24	8284	24	25	26	27	28	29	30	31	32	33	35	#
25	8041	25	26	27	28	29	30	31	32	33	34	35	#
26	10060	0	1	2	3	4	36	#
27	10060	1	2	3	4	5	36	#
28	10060	2	3	4	5	6	36	#
29	10060	3	4	5	6	7	36	#
30	10060	4	5	6	7	8	36	#
31	10060	5	6	7	8	9	36	#
32	10060	6	7	8	9	10	36	#
33	10060	7	8	9	10	11	36	#
34	10060	8	9	10	11	12	36	#
35	10060	9	10	11	12	13	36	#
36	10060	10	11	12	13	14	36	#
37	10060	11	12	13	14	15	36	#
38	10060	12	13	14	15	16	36	#
39	10060	13	14	15	16	17	36	#
40	10060	14	15	16	17	18	36	#
41	10060	15	16	17	18	19	36	#
42	10060	16	17	18	19	20	36	#
43	10060	17	18	19	20	21	36	#
44	10060	18	19	20	21	22	36	#
45	10060	19	20	21	22	23	36	#
46	7979	20	21	22	23	24	36	#
47	7979	21	22	23	24	25	36	#
48	7979	22	23	24	25	26	36	#
49	7979	23	24	25	26	27	36	#
50	7979	24	25	26	27	28	36	#
51	7979	25	26	27	28	29	36	#
52	6806	26	27	28	29	30	36	#
53	6806	27	28	29	30	31	36	#
54	6806	28	29	30	31	32	36	#
55	6806	29	30	31	32	33	36	#
56	6806	30	31	32	33	34	36	#
57	2880	0	1	37	#
58	2880	1	2	37	#
59	2880	2	3	37	#
60	2880	3	4	37	#
61	2880	4	5	37	#
62	7928	0	1	2	3	4	5	6	38	#
63	4866	0	1	2	39	#
64	4866	1	2	3	39	#
65	4866	2	3	4	39	#
66	4866	3	4	5	39	#
67	4866	4	5	6	39	#
68	4866	5	6	7	39	#
69	4866	6	7	8	39	#
70	4866	7	8	9	39	#
71	4866	8	9	10	39	#
72	4866	9	10	11	39	#
73	4866	10	11	12	39	#
74	4866	11	12	13	39	#
75	4866	12	13	14	39	#
76	4866	13	14	15	39	#
77	4866	14	15	16	39	#
78	4866	15	16	17	39	#
79	4866	16	17	18	39	#
80	4866	17	18	19	39	#
81	4866	18	19	20	39	#
82	4866	19	20	21	39	#
83	4866	20	21	22	39	#
84	4866	21	22	23	39	#
85	4866	22	23	24	39	#
86	4866	23	24	25	39	#
87	4866	24	25	26	39	#
88	4866	25	26	27	39	#
89	4866	26	27	28	39	#
90	4866	27	28	29	39	#
91	4410	28	29	30	39	#
92	4410	29	30	31	39	#
93	4410	30	31	32	39	#
94	4151	31	32	33	39	#
95	4151	32	33	34	39	#
96	3381	0	1	2	40	#
97	3381	1	2	3	40	#
98	3381	2	3	4	40	#
99	3381	3	4	5	40	#
100	3381	4	5	6	40	#
101	3381	5	6	7	40	#
102	3381	6	7	8	40	#
103	2080	7	8	9	40	#
104	2080	8	9	10	40	#
105	2080	9	10	11	40	#
106	2080	10	11	12	40	#
107	2080	11	12	13	40	#
108	1352	12	13	14	40	#
109	1352	13	14	15	40	#
110	1352	14	15	16	40	#
111	1352	15	16	17	40	#
112	1352	16	17	18	40	#
113	1352	17	18	19	40	#
114	1352	18	19	20	40	#
115	2762	0	1	2	41	#
116	2762	1	2	3	41	#
117	2762	2	3	4	41	#
118	2762	3	4	5	41	#
119	2762	4	5	6	41	#
120	2762	5	6	7	41	#
121	2762	6	7	8	41	#
122	2762	7	8	9	41	#
123	2762	8	9	10	41	#
124	2762	9	10	11	41	#
125	2762	10	11	12	41	#
126	2762	11	12	13	41	#
127	2762	12	13	14	41	#
128	2762	13	14	15	41	#
129	2762	14	15	16	41	#
130	2762	15	16	17	41	#
131	2762	16	17	18	41	#
132	2762	17	18	19	41	#
133	2762	18	19	20	41	#
134	2762	19	20	21	41	#
135	2762	20	21	22	41	#
136	2809	0	1	2	42	#
137	2809	1	2	3	42	#
138	2809	2	3	4	42	#
139	2809	3	4	5	42	#
140	2809	4	5	6	42	#
141	2809	5	6	7	42	#
142	2809	6	7	8	42	#
143	2809	7	8	9	42	#
144	2809	8	9	10	42	#
145	2809	9	10	11	42	#
146	5252	0	1	2	43	#
147	5252	1	2	3	43	#
148	5252	2	3	4	43	#
149	5252	3	4	5	43	#
150	5252	4	5	6	43	#
151	5252	5	6	7	43	#
152	5252	6	7	8	43	#
153	5252	7	8	9	43	#
154	5252	8	9	10	43	#
155	5252	9	10	11	43	#
156	5252	10	11	12	43	#
157	5252	11	12	13	43	#
158	5252	12	13	14	43	#
159	5252	13	14	15	43	#
160	5252	14	15	16	43	#
161	5252	15	16	17	43	#
162	5252	16	17	18	43	#
163	5252	17	18	19	43	#
164	5252	18	19	20	43	#
165	4775	19	20	21	43	#
166	4775	20	21	22	43	#
167	10420	0	1	2	3	4	5	44	#
168	10420	1	2	3	4	5	6	44	#
169	10420	2	3	4	5	6	7	44	#
