%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 50; Bids: 1000; Distribution: scheduling; Runs: 10; Seed: 1566345641
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 50
bids 1039
dummy 27

0	5313	0	1	2	3	4	5	50	#
1	5313	1	2	3	4	5	6	50	#
2	5313	2	3	4	5	6	7	50	#
3	5313	3	4	5	6	7	8	50	#
4	5313	4	5	6	7	8	9	50	#
5	5313	5	6	7	8	9	10	50	#
6	5313	6	7	8	9	10	11	50	#
7	5313	7	8	9	10	11	12	50	#
8	5313	8	9	10	11	12	13	50	#
9	5313	9	10	11	12	13	14	50	#
10	5313	10	11	12	13	14	15	50	#
11	5313	11	12	13	14	15	16	50	#
12	5313	12	13	14	15	16	17	50	#
13	5313	13	14	15	16	17	18	50	#
14	5313	14	15	16	17	18	19	50	#
15	5313	15	16	17	18	19	20	50	#
16	5313	16	17	18	19	20	21	50	#
17	5313	17	18	19	20	21	22	50	#
18	5313	18	19	20	21	22	23	50	#
19	5313	19	20	21	22	23	24	50	#
20	5313	20	21	22	23	24	25	50	#
21	2951	21	22	23	24	25	26	50	#
22	2951	22	23	24	25	26	27	50	#
23	2951	23	24	25	26	27	28	50	#
24	2951	24	25	26	27	28	29	50	#
25	2951	25	26	27	28	29	30	50	#
26	2951	26	27	28	29	30	31	50	#
27	2951	27	28	29	30	31	32	50	#
28	2951	28	29	30	31	32	33	50	#
29	2951	29	30	31	32	33	34	50	#
30	2951	30	31	32	33	34	35	50	#
31	2951	31	32	33	34	35	36	50	#
32	2951	32	33	34	35	36	37	50	#
33	2951	33	34	35	36	37	38	50	#
34	2951	34	35	36	37	38	39	50	#
35	2951	35	36	37	38	39	40	50	#
36	2951	36	37	38	39	40	41	50	#
37	2951	37	38	39	40	41	42	50	#
38	2951	38	39	40	41	42	43	50	#
39	2951	39	40	41	42	43	44	50	#
40	2951	40	41	42	43	44	45	50	#
41	2710	41	42	43	44	45	46	50	#
42	2710	42	43	44	45	46	47	50	#
43	2710	43	44	45	46	47	48	50	#
44	2710	44	45	46	47	48	49	50	#
45	7640	0	1	2	3	51	#
46	11064	0	1	2	3	4	5	6	52	#
47	11064	1	2	3	4	5	6	7	52	#
48	11064	2	3	4	5	6	7	8	52	#
49	11064	3	4	5	6	7	8	9	52	#
50	11064	4	5	6	7	8	9	10	52	#
51	11064	5	6	7	8	9	10	11	52	#
52	11064	6	7	8	9	10	11	12	52	#
53	11064	7	8	9	10	11	12	13	52	#
54	11064	8	9	10	11	12	13	14	52	#
55	11064	9	10	11	12	13	14	15	52	#
56	11064	10	11	12	13	14	15	16	52	#
57	11064	11	12	13	14	15	16	17	52	#
58	11064	12	13	14	15	16	17	18	52	#
59	11064	13	14	15	16	17	18	19	52	#
60	11064	14	15	16	17	18	19	20	52	#
61	11064	15	16	17	18	19	20	21	52	#
62	11064	16	17	18	19	20	21	22	52	#
63	11064	17	18	19	20	21	22	23	52	#
64	11064	18	19	20	21	22	23	24	52	#
65	11064	19	20	21	22	23	24	25	52	#
66	11064	20	21	22	23	24	25	26	52	#
67	11064	21	22	23	24	25	26	27	52	#
68	11064	22	23	24	25	26	27	28	52	#
69	11064	23	24	25	26	27	28	29	52	#
70	11064	24	25	26	27	28	29	30	52	#
71	11064	25	26	27	28	29	30	31	52	#
72	11064	26	27	28	29	30	31	32	52	#
73	11064	27	28	29	30	31	32	33	52	#
74	11064	28	29	30	31	32	33	34	52	#
75	11064	29	30	31	32	33	34	35	52	#
76	11064	30	31	32	33	34	35	36	52	#
77	11064	31	32	33	34	35	36	37	52	#
78	11064	32	33	34	35	36	37	38	52	#
79	11064	33	34	35	36	37	38	39	52	#
80	11064	34	35	36	37	38	39	40	52	#
81	11064	35	36	37	38	39	40	41	52	#
82	11064	36	37	38	39	40	41	42	52	#
83	11064	37	38	39	40	41	42	43	52	#
84	11064	38	39	40	41	42	43	44	52	#
85	11064	39	40	41	42	43	44	45	52	#
86	11064	40	41	42	43	44	45	46	52	#
87	10387	41	42	43	44	45	46	47	52	#
88	10387	42	43	44	45	46	47	48	52	#
89	10387	43	44	45	46	47	48	49	52	#
90	12148	0	1	2	3	4	5	6	53	#
91	12148	1	2	3	4	5	6	7	53	#
92	12148	2	3	4	5	6	7	8	53	#
93	12148	3	4	5	6	7	8	9	53	#
94	12148	4	5	6	7	8	9	10	53	#
95	2700	5	6	7	8	9	10	11	53	#
