%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 65; Bids: 2600; Distribution: scheduling; Runs: 10; Seed: 1566345654
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 65
bids 2600
dummy 59

0	10442	0	1	2	3	4	5	6	7	8	9	65	#
1	10442	1	2	3	4	5	6	7	8	9	10	65	#
2	10442	2	3	4	5	6	7	8	9	10	11	65	#
3	10442	3	4	5	6	7	8	9	10	11	12	65	#
4	10442	4	5	6	7	8	9	10	11	12	13	65	#
5	10442	5	6	7	8	9	10	11	12	13	14	65	#
6	10442	6	7	8	9	10	11	12	13	14	15	65	#
7	10442	7	8	9	10	11	12	13	14	15	16	65	#
8	10442	8	9	10	11	12	13	14	15	16	17	65	#
9	10442	9	10	11	12	13	14	15	16	17	18	65	#
10	10442	10	11	12	13	14	15	16	17	18	19	65	#
11	10442	11	12	13	14	15	16	17	18	19	20	65	#
12	10442	12	13	14	15	16	17	18	19	20	21	65	#
13	10442	13	14	15	16	17	18	19	20	21	22	65	#
14	10442	14	15	16	17	18	19	20	21	22	23	65	#
15	10442	15	16	17	18	19	20	21	22	23	24	65	#
16	10442	16	17	18	19	20	21	22	23	24	25	65	#
17	10442	17	18	19	20	21	22	23	24	25	26	65	#
18	10442	18	19	20	21	22	23	24	25	26	27	65	#
19	10442	19	20	21	22	23	24	25	26	27	28	65	#
20	10442	20	21	22	23	24	25	26	27	28	29	65	#
21	10442	21	22	23	24	25	26	27	28	29	30	65	#
22	10442	22	23	24	25	26	27	28	29	30	31	65	#
23	10442	23	24	25	26	27	28	29	30	31	32	65	#
24	10442	24	25	26	27	28	29	30	31	32	33	65	#
25	10442	25	26	27	28	29	30	31	32	33	34	65	#
26	10442	26	27	28	29	30	31	32	33	34	35	65	#
27	10442	27	28	29	30	31	32	33	34	35	36	65	#
28	10442	28	29	30	31	32	33	34	35	36	37	65	#
29	10442	29	30	31	32	33	34	35	36	37	38	65	#
30	10442	30	31	32	33	34	35	36	37	38	39	65	#
31	10442	31	32	33	34	35	36	37	38	39	40	65	#
32	10442	32	33	34	35	36	37	38	39	40	41	65	#
33	10442	33	34	35	36	37	38	39	40	41	42	65	#
34	10442	34	35	36	37	38	39	40	41	42	43	65	#
35	10442	35	36	37	38	39	40	41	42	43	44	65	#
36	10442	36	37	38	39	40	41	42	43	44	45	65	#
37	10442	37	38	39	40	41	42	43	44	45	46	65	#
38	9802	38	39	40	41	42	43	44	45	46	47	65	#
39	9802	39	40	41	42	43	44	45	46	47	48	65	#
40	9802	40	41	42	43	44	45	46	47	48	49	65	#
41	9063	41	42	43	44	45	46	47	48	49	50	65	#
42	9063	42	43	44	45	46	47	48	49	50	51	65	#
43	9063	43	44	45	46	47	48	49	50	51	52	65	#
44	9063	44	45	46	47	48	49	50	51	52	53	65	#
45	8427	45	46	47	48	49	50	51	52	53	54	65	#
46	8427	46	47	48	49	50	51	52	53	54	55	65	#
47	8427	47	48	49	50	51	52	53	54	55	56	65	#
48	8427	48	49	50	51	52	53	54	55	56	57	65	#
49	8281	49	50	51	52	53	54	55	56	57	58	65	#
50	8005	50	51	52	53	54	55	56	57	58	59	65	#
51	8005	51	52	53	54	55	56	57	58	59	60	65	#
52	3466	0	1	2	66	#
53	3466	1	2	3	66	#
54	3466	2	3	4	66	#
55	3466	3	4	5	66	#
56	3466	4	5	6	66	#
57	3466	5	6	7	66	#
58	3466	6	7	8	66	#
59	3466	7	8	9	66	#
60	3466	8	9	10	66	#
61	3466	9	10	11	66	#
62	3466	10	11	12	66	#
63	3466	11	12	13	66	#
64	3466	12	13	14	66	#
65	3466	13	14	15	66	#
66	3466	14	15	16	66	#
67	3466	15	16	17	66	#
68	3466	16	17	18	66	#
69	1356	17	18	19	66	#
70	1356	18	19	20	66	#
71	1356	19	20	21	66	#
72	1356	20	21	22	66	#
73	1356	21	22	23	66	#
74	1356	22	23	24	66	#
75	1356	23	24	25	66	#
76	1356	24	25	26	66	#
77	1356	25	26	27	66	#
78	1356	26	27	28	66	#
79	1356	27	28	29	66	#
80	1356	28	29	30	66	#
81	1356	29	30	31	66	#
82	1356	30	31	32	66	#
83	1356	31	32	33	66	#
84	1356	32	33	34	66	#
85	1356	33	34	35	66	#
86	1356	34	35	36	66	#
87	1356	35	36	37	66	#
88	1356	36	37	38	66	#
89	1356	37	38	39	66	#
90	1356	38	39	40	66	#
91	1356	39	40	41	66	#
92	1356	40	41	42	66	#
93	1356	41	42	43	66	#
94	1356	42	43	44	66	#
95	1356	43	44	45	66	#
96	1356	44	45	46	66	#
97	4517	0	1	2	67	#
98	4517	1	2	3	67	#
99	4517	2	3	4	67	#
100	4517	3	4	5	67	#
101	4517	4	5	6	67	#
102	4517	5	6	7	67	#
103	4517	6	7	8	67	#
104	4517	7	8	9	67	#
105	4517	8	9	10	67	#
106	4517	9	10	11	67	#
107	4517	10	11	12	67	#
108	4517	11	12	13	67	#
109	4517	12	13	14	67	#
110	4517	13	14	15	67	#
111	4517	14	15	16	67	#
112	4517	15	16	17	67	#
113	4517	16	17	18	67	#
114	4517	17	18	19	67	#
115	4517	18	19	20	67	#
116	4517	19	20	21	67	#
117	4517	20	21	22	67	#
118	4517	21	22	23	67	#
119	4517	22	23	24	67	#
120	4517	23	24	25	67	#
121	4517	24	25	26	67	#
122	4517	25	26	27	67	#
123	4517	26	27	28	67	#
124	10924	0	1	2	3	4	5	6	7	68	#
125	10924	1	2	3	4	5	6	7	8	68	#
126	10924	2	3	4	5	6	7	8	9	68	#
127	10924	3	4	5	6	7	8	9	10	68	#
128	10924	4	5	6	7	8	9	10	11	68	#
129	10924	5	6	7	8	9	10	11	12	68	#
130	10924	6	7	8	9	10	11	12	13	68	#
131	10924	7	8	9	10	11	12	13	14	68	#
132	10924	8	9	10	11	12	13	14	15	68	#
133	10924	9	10	11	12	13	14	15	16	68	#
134	10924	10	11	12	13	14	15	16	17	68	#
135	10924	11	12	13	14	15	16	17	18	68	#
136	10924	12	13	14	15	16	17	18	19	68	#
137	10924	13	14	15	16	17	18	19	20	68	#
138	10924	14	15	16	17	18	19	20	21	68	#
139	10924	15	16	17	18	19	20	21	22	68	#
140	10924	16	17	18	19	20	21	22	23	68	#
141	10924	17	18	19	20	21	22	23	24	68	#
142	10924	18	19	20	21	22	23	24	25	68	#
143	10924	19	20	21	22	23	24	25	26	68	#
144	10924	20	21	22	23	24	25	26	27	68	#
145	10924	21	22	23	24	25	26	27	28	68	#
146	10924	22	23	24	25	26	27	28	29	68	#
147	10924	23	24	25	26	27	28	29	30	68	#
148	10924	24	25	26	27	28	29	30	31	68	#
