%% File generated by CATS v.2.1Tue Aug 20 18:58:10 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 40; Bids: 400; Distribution: scheduling; Runs: 10; Seed: 1566345631
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 40
bids 427
dummy 13

0	5952	0	1	2	3	40	#
1	5952	1	2	3	4	40	#
2	744	2	3	4	5	40	#
3	744	3	4	5	6	40	#
4	744	4	5	6	7	40	#
5	744	5	6	7	8	40	#
6	744	6	7	8	9	40	#
7	744	7	8	9	10	40	#
8	744	8	9	10	11	40	#
9	744	9	10	11	12	40	#
10	744	10	11	12	13	40	#
11	744	11	12	13	14	40	#
12	744	12	13	14	15	40	#
13	744	13	14	15	16	40	#
14	744	14	15	16	17	40	#
15	744	15	16	17	18	40	#
16	744	16	17	18	19	40	#
17	744	17	18	19	20	40	#
18	744	18	19	20	21	40	#
19	744	19	20	21	22	40	#
20	744	20	21	22	23	40	#
21	744	21	22	23	24	40	#
22	744	22	23	24	25	40	#
23	744	23	24	25	26	40	#
24	744	24	25	26	27	40	#
25	744	25	26	27	28	40	#
26	744	26	27	28	29	40	#
27	744	27	28	29	30	40	#
28	744	28	29	30	31	40	#
29	744	29	30	31	32	40	#
30	700	30	31	32	33	40	#
31	700	31	32	33	34	40	#
32	643	32	33	34	35	40	#
33	643	33	34	35	36	40	#
34	643	34	35	36	37	40	#
35	6191	0	1	2	3	4	5	41	#
36	6191	1	2	3	4	5	6	41	#
37	6191	2	3	4	5	6	7	41	#
38	6191	3	4	5	6	7	8	41	#
39	6191	4	5	6	7	8	9	41	#
40	6191	5	6	7	8	9	10	41	#
41	6191	6	7	8	9	10	11	41	#
42	6191	7	8	9	10	11	12	41	#
43	6191	8	9	10	11	12	13	41	#
44	6191	9	10	11	12	13	14	41	#
45	6191	10	11	12	13	14	15	41	#
46	6191	11	12	13	14	15	16	41	#
47	6191	12	13	14	15	16	17	41	#
48	6191	13	14	15	16	17	18	41	#
49	6191	14	15	16	17	18	19	41	#
50	6191	15	16	17	18	19	20	41	#
51	6191	16	17	18	19	20	21	41	#
52	6191	17	18	19	20	21	22	41	#
53	6191	18	19	20	21	22	23	41	#
54	6191	19	20	21	22	23	24	41	#
55	6191	20	21	22	23	24	25	41	#
56	6191	21	22	23	24	25	26	41	#
57	5031	22	23	24	25	26	27	41	#
58	5031	23	24	25	26	27	28	41	#
59	5031	24	25	26	27	28	29	41	#
60	5031	25	26	27	28	29	30	41	#
61	5031	26	27	28	29	30	31	41	#
62	5031	27	28	29	30	31	32	41	#
63	4351	28	29	30	31	32	33	41	#
64	4351	29	30	31	32	33	34	41	#
65	4351	30	31	32	33	34	35	41	#
66	4351	31	32	33	34	35	36	41	#
67	4351	32	33	34	35	36	37	41	#
68	4128	33	34	35	36	37	38	41	#
69	4128	34	35	36	37	38	39	41	#
70	11318	0	1	2	3	4	5	6	7	8	42	#
71	11318	1	2	3	4	5	6	7	8	9	42	#
72	11318	2	3	4	5	6	7	8	9	10	42	#
73	11318	3	4	5	6	7	8	9	10	11	42	#
74	11318	4	5	6	7	8	9	10	11	12	42	#
75	11318	5	6	7	8	9	10	11	12	13	42	#
76	11318	6	7	8	9	10	11	12	13	14	42	#
77	11318	7	8	9	10	11	12	13	14	15	42	#
78	11318	8	9	10	11	12	13	14	15	16	42	#
79	11318	9	10	11	12	13	14	15	16	17	42	#
80	11318	10	11	12	13	14	15	16	17	18	42	#
81	11318	11	12	13	14	15	16	17	18	19	42	#
82	11318	12	13	14	15	16	17	18	19	20	42	#
83	11318	13	14	15	16	17	18	19	20	21	42	#
84	11318	14	15	16	17	18	19	20	21	22	42	#
85	11318	15	16	17	18	19	20	21	22	23	42	#
86	11318	16	17	18	19	20	21	22	23	24	42	#
87	11318	17	18	19	20	21	22	23	24	25	42	#
88	11318	18	19	20	21	22	23	24	25	26	42	#
89	11318	19	20	21	22	23	24	25	26	27	42	#
90	11318	20	21	22	23	24	25	26	27	28	42	#
91	11318	21	22	23	24	25	26	27	28	29	42	#
92	11318	22	23	24	25	26	27	28	29	30	42	#
93	11318	23	24	25	26	27	28	29	30	31	42	#
94	11318	24	25	26	27	28	29	30	31	32	42	#
95	11318	25	26	27	28	29	30	31	32	33	42	#
96	11318	26	27	28	29	30	31	32	33	34	42	#
97	11318	27	28	29	30	31	32	33	34	35	42	#
98	11318	28	29	30	31	32	33	34	35	36	42	#
99	11318	29	30	31	32	33	34	35	36	37	42	#
100	11021	30	31	32	33	34	35	36	37	38	42	#
101	10738	31	32	33	34	35	36	37	38	39	42	#
102	9527	0	1	2	3	4	5	6	7	8	43	#
103	9527	1	2	3	4	5	6	7	8	9	43	#
104	9527	2	3	4	5	6	7	8	9	10	43	#
105	9527	3	4	5	6	7	8	9	10	11	43	#
106	9527	4	5	6	7	8	9	10	11	12	43	#
107	9527	5	6	7	8	9	10	11	12	13	43	#
108	9527	6	7	8	9	10	11	12	13	14	43	#
109	9527	7	8	9	10	11	12	13	14	15	43	#
110	9527	8	9	10	11	12	13	14	15	16	43	#
111	9527	9	10	11	12	13	14	15	16	17	43	#
112	9527	10	11	12	13	14	15	16	17	18	43	#
113	9527	11	12	13	14	15	16	17	18	19	43	#
114	9527	12	13	14	15	16	17	18	19	20	43	#
115	5150	13	14	15	16	17	18	19	20	21	43	#
116	5150	14	15	16	17	18	19	20	21	22	43	#
117	5150	15	16	17	18	19	20	21	22	23	43	#
118	5150	16	17	18	19	20	21	22	23	24	43	#
119	5150	17	18	19	20	21	22	23	24	25	43	#
120	5150	18	19	20	21	22	23	24	25	26	43	#
121	5150	19	20	21	22	23	24	25	26	27	43	#
122	5150	20	21	22	23	24	25	26	27	28	43	#
123	5150	21	22	23	24	25	26	27	28	29	43	#
124	5150	22	23	24	25	26	27	28	29	30	43	#
