%% File generated by CATS v.2.1Tue Aug 20 18:58:11 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 75; Bids: 750; Distribution: scheduling; Runs: 10; Seed: 1566345662
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 75
bids 777
dummy 14

0	18012	0	1	2	3	4	5	6	7	8	75	#
1	18012	1	2	3	4	5	6	7	8	9	75	#
2	18012	2	3	4	5	6	7	8	9	10	75	#
3	18012	3	4	5	6	7	8	9	10	11	75	#
4	18012	4	5	6	7	8	9	10	11	12	75	#
5	18012	5	6	7	8	9	10	11	12	13	75	#
6	18012	6	7	8	9	10	11	12	13	14	75	#
7	18012	7	8	9	10	11	12	13	14	15	75	#
8	18012	8	9	10	11	12	13	14	15	16	75	#
9	18012	9	10	11	12	13	14	15	16	17	75	#
10	18012	10	11	12	13	14	15	16	17	18	75	#
11	18012	11	12	13	14	15	16	17	18	19	75	#
12	18012	12	13	14	15	16	17	18	19	20	75	#
13	18012	13	14	15	16	17	18	19	20	21	75	#
14	18012	14	15	16	17	18	19	20	21	22	75	#
15	18012	15	16	17	18	19	20	21	22	23	75	#
16	18012	16	17	18	19	20	21	22	23	24	75	#
17	18012	17	18	19	20	21	22	23	24	25	75	#
18	18012	18	19	20	21	22	23	24	25	26	75	#
19	18012	19	20	21	22	23	24	25	26	27	75	#
20	18012	20	21	22	23	24	25	26	27	28	75	#
21	18012	21	22	23	24	25	26	27	28	29	75	#
22	18012	22	23	24	25	26	27	28	29	30	75	#
23	18012	23	24	25	26	27	28	29	30	31	75	#
24	18012	24	25	26	27	28	29	30	31	32	75	#
25	18012	25	26	27	28	29	30	31	32	33	75	#
26	18012	26	27	28	29	30	31	32	33	34	75	#
27	18012	27	28	29	30	31	32	33	34	35	75	#
28	18012	28	29	30	31	32	33	34	35	36	75	#
29	18012	29	30	31	32	33	34	35	36	37	75	#
30	18012	30	31	32	33	34	35	36	37	38	75	#
31	18012	31	32	33	34	35	36	37	38	39	75	#
32	11708	32	33	34	35	36	37	38	39	40	75	#
33	11708	33	34	35	36	37	38	39	40	41	75	#
34	11708	34	35	36	37	38	39	40	41	42	75	#
35	11708	35	36	37	38	39	40	41	42	43	75	#
36	11708	36	37	38	39	40	41	42	43	44	75	#
37	11708	37	38	39	40	41	42	43	44	45	75	#
38	11708	38	39	40	41	42	43	44	45	46	75	#
39	11708	39	40	41	42	43	44	45	46	47	75	#
40	11708	40	41	42	43	44	45	46	47	48	75	#
41	11708	41	42	43	44	45	46	47	48	49	75	#
42	11708	42	43	44	45	46	47	48	49	50	75	#
43	11708	43	44	45	46	47	48	49	50	51	75	#
44	11708	44	45	46	47	48	49	50	51	52	75	#
45	11708	45	46	47	48	49	50	51	52	53	75	#
46	11708	46	47	48	49	50	51	52	53	54	75	#
47	11708	47	48	49	50	51	52	53	54	55	75	#
48	11708	48	49	50	51	52	53	54	55	56	75	#
49	11708	49	50	51	52	53	54	55	56	57	75	#
50	11708	50	51	52	53	54	55	56	57	58	75	#
51	11708	51	52	53	54	55	56	57	58	59	75	#
52	11708	52	53	54	55	56	57	58	59	60	75	#
